IATA,ICAO,Airport name,Country,City
MKH,FXMK,Mokhotlong Airport,Lesotho,Mokhotlong
MKI,FEGE,M'Boki Airport,Central African Republic,Mboki
MKJ,FCOM,Makoua Airport,Republic of the Congo,Makoua
MKK,PHMK,Molokai Airport,United States of America,Kaunakakai
MKL,KMKL,McKellar-Sipes Regional Airport,United States of America,Jackson
MKM,WBGK,Mukah Airport,Malaysia,Mukah
MKN,,Malekolon Airport,Papua New Guinea,Babase Island
MKP,NTGM,Makemo Airport,French Polynesia,
MKQ,WAKK,Mopah Airport,Indonesia,Merauke-Papua Island
MKR,YMEK,Meekatharra Airport,Australia,
MKS,HAMA,Mekane Selam Airport,Ethiopia,Mekane Selam
MKU,FOOK,Makokou Airport,Gabon,Makokou
MKV,YMVG,Mount Cavenagh Airport,Australia,
MKW,WASR,Rendani Airport,Indonesia,Manokwari-Papua Island
MKY,YBMK,Mackay Airport,Australia,Mackay
MKZ,WMKM,Malacca Airport,Malaysia,Malacca
MLA,LMML,Malta International Airport,Malta,Valletta
MLB,KMLB,Melbourne International Airport,United States of America,Melbourne
MLC,KMLC,Mc Alester Regional Airport,United States of America,Mc Alester
MLE,VRMM,Malé International Airport,Maldives,Malé
MLG,WARA,Abdul Rachman Saleh Airport,Indonesia,Malang-Java Island
MLI,KMLI,Quad City International Airport,United States of America,Moline
MLK,,Malta Airport,United States of America,Malta
MLL,PADM,Marshall Don Hunter Sr Airport,United States of America,Marshall
MLM,MMMM,General Francisco J. Mujica International Airport,Mexico,Morelia
MLN,GEML,Melilla Airport,Spain,Melilla
MLO,LGML,Milos Airport,Greece,Milos Island
MLP,RPMM,Malabang Airport,Philippines,Malabang
MLQ,,Malalaua Airport,Papua New Guinea,Malalaua
MLR,YMCT,Millicent Airport,Australia,Millicent
MLS,KMLS,Frank Wiley Field,United States of America,Miles City
MLU,KMLU,Monroe Regional Airport,United States of America,Monroe
MLV,YMEU,Merluna Airport,Australia,Merluna
MLW,GLMR,Spriggs Payne Airport,Liberia,Monrovia
MLX,LTAT,Malatya Erhaç Airport,Turkey,Malatya
MLY,PAML,Manley Hot Springs Airport,United States of America,Manley Hot Springs
MLZ,SUMO,Cerro Largo International Airport,Uruguay,Melo
MMB,RJCM,Memanbetsu Airport,Japan,Ōzora
MMC,MMDM,Ciudad Mante National Airport,Mexico,Ciudad Mante
MMD,ROMD,Minami-Daito Airport,Japan,Minamidaitō
MME,EGNV,Durham Tees Valley Airport,United Kingdom,Durham
MMF,FKKF,Mamfe Airport,Cameroon,Mamfe
MMG,YMOG,Mount Magnet Airport,Australia,
MMH,KMMH,Mammoth Yosemite Airport,United States of America,Mammoth Lakes
MMI,KMMI,McMinn County Airport,United States of America,Athens
MMJ,RJAF,Matsumoto Airport,Japan,Matsumoto
MMK,ULMM,Murmansk Airport,Russia,Murmansk
MML,KMML,Southwest Minnesota Regional Airport - Marshall/Ryan Field,United States of America,Marshall
MMM,YMMU,Middlemount Airport,Australia,
MMO,GVMA,Maio Airport,Cape Verde,Vila do Maio
MMQ,FLBA,Mbala Airport,Zambia,Mbala
MMS,KMMS,Selfs Airport,United States of America,Marks
MMT,KMMT,Mc Entire Joint National Guard Base,United States of America,Eastover
MMU,KMMU,Morristown Municipal Airport,United States of America,Morristown
MMV,,Mal Airport,Papua New Guinea,Mal Island
MMX,ESMS,Malmö Sturup Airport,Sweden,Malmö
MMY,ROMY,Miyako Airport,Japan,Miyako City
MMZ,OAMN,Maimana Airport,Afghanistan,Maymana
MNA,WAMN,Melangguane Airport,Indonesia,Karakelong Island
MNB,FZAG,Muanda Airport,Democratic Republic of the Congo,
MNC,FQNC,Nacala Airport,Mozambique,Nacala
MND,,Medina Airport,Colombia,Medina
MNE,YMUG,Mungeranie Airport,Australia,Mungeranie
MNF,NFMA,Mana Island Airport,Fiji,Mana Island
MNG,YMGD,Maningrida Airport,Australia,Maningrida
MNH,,Rustaq Airport,Oman,Al Masna'ah
MNI,TRPG,John A. Osborne Airport,Montserrat,Gerald's Park
MNJ,FMSM,Mananjary Airport,Madagascar,Mananjary
MNK,NGMA,Maiana Airport,Kiribati,Maiana
MNL,RPLL,Ninoy Aquino International Airport,Philippines,Manila
MNM,KMNM,Menominee Regional Airport,United States of America,Menominee
MNN,KMNN,Marion Municipal Airport,United States of America,Marion
MNO,FZRA,Manono Airport,Democratic Republic of the Congo,Manono
MNQ,YMTO,Monto Airport,Australia,
MNR,FLMG,Mongu Airport,Zambia,Mongu
MNS,FLMA,Mansa Airport,Zambia,Mansa
MNU,VYMM,Mawlamyine Airport,Myanmar,Mawlamyine
